,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
5140,5389825,21054,688AP35-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5141,5390337,21056,835IHFL23B-YM,,0.0,,0.0,0.01,1,EQ,NSE,NSE
5142,5390849,21058,INDIFRA-SM,INDIFRA,0.0,,0.0,0.05,2000,EQ,NSE,NSE
5143,5391873,21062,INNOVACAP,INNOVA CAPTAB,0.0,,0.0,0.05,1,EQ,NSE,NSE
5144,5393153,21067,SUPREMEPWR-SM,SUPREME POWER EQUIPMENT L,0.0,,0.0,0.05,1000,EQ,NSE,NSE
5145,5395969,21078,TECHLABS-SM,TRIDENT TECHLABS,0.0,,0.0,0.05,500,EQ,NSE,NSE
5146,5396737,21081,SURANASOL-BE,SURANA SOLAR,0.0,,0.0,0.05,1,EQ,NSE,NSE
5147,5399297,21091,STARCEMENT,STAR CEMENT,0.0,,0.0,0.05,1,EQ,NSE,NSE
5148,5400577,21096,SAIFL-SM,SAMEERA AGRO AND INFRA L,0.0,,0.0,0.05,800,EQ,NSE,NSE
5149,5401345,21099,SPYL-BE,SHEKHAWATI POLY-YARN,0.0,,0.0,0.05,1,EQ,NSE,NSE
5150,5403393,21107,HRHNEXT-SM,HRH NEXT SERVICES,0.0,,0.0,0.05,3000,EQ,NSE,NSE
5151,5404929,21113,BFINVEST,BF INVESTMENT,0.0,,0.0,0.05,1,EQ,NSE,NSE
5152,5406465,21119,KICL,KALYANI INVEST CO,0.0,,0.0,0.05,1,EQ,NSE,NSE
5153,5406977,21121,AKANKSHA-SM,AKANKSHA POWER N INFRA L,0.0,,0.0,0.05,2000,EQ,NSE,NSE
5154,5409537,21131,TEJASNET,TEJAS NETWORKS,0.0,,0.0,0.05,1,EQ,NSE,NSE
5155,5410049,21133,743GJ27-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5156,5411329,21138,688AP34-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5157,5411585,21139,694GA30-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5158,5411841,21140,629HP26-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5159,5412097,21141,695HP29-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5160,5414913,21152,747GJ28-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5161,5415169,21153,774AP32A-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
5162,5415425,21154,ERIS,ERIS LIFESCIENCES,0.0,,0.0,0.05,1,EQ,NSE,NSE
5163,5415681,21155,774KA34-SG,,0.0,,0.0,0.01,100,EQ,NSE,NSE
